year,month,total_rainfall,rainy_days,sunshine_hrs,air_temp
2007,3,269.1,21,5.8,24.6
2007,4,240.2,14,5.9,25.2
2007,5,127.2,16,5.5,25.3
2007,6,139.0,12,6.0,25.4
2007,7,141.7,19,3.8,25.1
2007,8,190.7,20,5.7,25.0
2007,9,149.0,13,5.8,25.0
2007,10,237.2,16,5.6,24.9
2007,11,367.9,21,3.5,24.0
2007,12,468.6,20,4.5,24.1
2008,1,262.6,19,6.1,24.3
2008,2,129.2,8,5.5,24.0
2008,3,294.1,16,4.3,24.0
2008,4,87.2,13,6.0,25.1
2008,5,124.9,11,6.6,26.0
2008,6,118.3,12,5.6,25.3
2008,7,89.1,15,4.9,25.1
2008,8,327.3,18,5.5,24.7
2008,9,164.4,18,5.1,24.6
2008,10,159.5,19,4.5,25.0
2008,11,324.3,16,4.0,24.5
2008,12,244.2,17,4.8,24.3
2009,1,38.3,5,6.6,24.2
2009,2,201.8,8,6.4,24.2
2009,3,223.3,19,5.5,24.1
2009,4,183.7,12,6.2,25.4
2009,5,198.6,17,6.6,25.3
2009,6,21.8,8,7.0,26.2
2009,7,161.0,16,6.2,25.3
2009,8,177.8,12,6.5,25.6
2009,9,109.6,13,5.6,25.5
2009,10,133.4,15,5.4,25.2
2009,11,281.8,23,4.7,24.8
2009,12,189.8,18,4.7,24.6
2010,1,69.5,10,7.1,24.4
2010,2,6.3,4,8.8,25.5
2010,3,238.0,11,6.1,25.1
2010,4,158.5,18,6.2,25.0
2010,5,157.5,17,6.5,25.9
2010,6,240.5,19,5.1,25.2
2010,7,298.5,18,4.6,24.6
2010,8,158.4,16,5.4,24.6
2010,9,121.5,13,5.7,24.9
2010,10,166.2,17,4.2,25.1
2010,11,278.8,21,5.0,24.2
2010,12,181.4,14,3.6,23.9
2011,1,513.2,17,4.5,23.5
2011,2,23.0,8,7.5,24.1
2011,3,256.6,22,4.6,23.9
2011,4,217.8,12,7.2,24.6
2011,5,127.0,15,5.9,25.2
2011,6,213.0,15,5.0,25.2
2011,7,76.6,7,7.8,25.5
2011,8,81.4,13,6.1,25.6
2011,9,136.4,14,5.1,25.1
2011,10,216.8,20,5.3,24.7
2011,11,377.8,24,4.6,24.6
2011,12,284.6,21,3.3,24.5
2012,1,106.1,16,6.0,24.3
2012,2,83.6,11,7.0,24.8
2012,3,313.4,21,4.2,24.4
2012,4,260.6,20,5.8,24.8
2012,5,292.0,19,5.6,24.8
2012,6,53.0,8,6.0,26.3
2012,7,130.8,17,6.2,25.3
2012,8,119.0,12,6.1,25.4
2012,9,107.6,10,5.6,25.3
2012,10,122.2,13,5.9,25.2
2012,11,208.2,22,4.4,24.7
2012,12,363.4,22,3.6,24.4
2013,1,262.0,15,6.0,24.6
2013,2,395.2,22,4.0,24.3
2013,3,85.8,10,7.5,25.6
2013,4,159.4,19,5.2,25.3
2013,5,211.4,17,5.4,25.6
2013,6,111.4,12,6.4,25.9
2013,7,174.6,15,5.7,25.2
2013,8,165.6,15,6.1,25.1
2013,9,257.0,19,4.6,24.8
2013,10,285.4,19,6.3,24.6
2013,11,292.4,22,4.5,24.5
2013,12,348.2,21,3.5,24.1
2014,1,75.4,5,5.3,24.0
2014,2,0.2,1,8.8,24.5
2014,3,66.0,6,8.0,25.1
2014,4,110.0,17,5.7,25.5
2014,5,125.8,18,5.8,25.8
2014,6,71.4,11,6.0,26.3
2014,7,148.6,15,5.5,25.8
2014,8,241.0,20,4.5,25.2
2014,9,83.6,9,7.0,25.7
2014,10,120.0,10,6.0,25.7
2014,11,250.8,23,5.4,24.8
2014,12,245.6,17,3.7,24.7
2015,1,79.6,6,7.4,24.6
2015,2,18.8,6,7.3,24.4
2015,3,84.4,5,7.3,25.5
2015,4,73.2,13,7.2,25.9
2015,5,89.0,12,5.8,26.4
2015,6,95.8,10,6.7,26.6
2015,7,116.8,13,7.1,26.7
2015,8,185.8,11,6.1,26.0
2015,9,61.6,8,4.3,26.5
2015,10,87.2,9,4.7,26.1
2015,11,72.6,13,4.8,25.5
2015,12,302.3,19,5.3,25.0
2016,1,126.6,15,7.2,26.0
2016,2,186.0,10,6.5,25.6
2016,3,6.2,6,8.0,26.6
2016,4,89.8,14,7.0,26.7
2016,5,193.8,12,6.2,26.5
2016,6,162.8,13,5.4,26.1
2016,7,168.6,20,6.3,25.8
2016,8,139.2,15,6.7,26.2
2016,9,118.9,15,5.5,25.1
2016,10,181.0,16,4.6,25.2
2016,11,290.2,20,3.5,24.9
2016,12,292.6,23,5.1,24.7
2017,1,197.6,21,4.8,24.7
2017,2,158.4,15,7.1,24.7
2017,3,136.2,11,6.1,24.9
2017,4,208.6,21,5.3,25.0
2017,5,190.0,15,5.9,25.9
2017,6,106.0,10,6.3,25.9
2017,7,79.6,9,7.0,26.0
2017,8,84.2,18,6.1,25.9
2017,9,124.4,19,5.7,25.4
2017,10,120.8,18,5.5,25.3
2017,11,268.6,24,4.2,24.6
2017,12,371.2,23,5.6,24.6
2018,1,287.0,25,4.1,24.0
2018,2,14.8,5,8.0,24.8
2018,3,44.6,10,6.4,25.4
2018,4,61.2,14,6.8,25.8
2018,5,132.2,19,5.8,26.2
2018,6,182.6,17,4.1,25.6
2018,7,143.2,10,6.1,26.0
2018,8,121.6,11,6.7,26.1
2018,9,144.4,13,6.0,25.3
2018,10,234.4,18,6.1,25.2
2018,11,169.6,27,3.8,24.6
2018,12,172.6,19,5.1,25.3
2019,1,63.6,9,7.1,25.6
2019,2,31.6,5,9.2,25.4
2019,3,72.2,6,8.3,25.6
2019,4,174.8,9,5.9,25.9
2019,5,69.0,13,7.0,26.5
2019,6,173.8,16,5.3,26.1
2019,7,12.2,8,7.5,26.9
2019,8,11.8,6,7.6,27.1
2019,9,22.8,4,6.7,26.6
2019,10,176.8,15,6.5,25.3
2019,11,137.4,15,5.5,25.4
2019,12,421.5,14,4.8,24.6
2020,1,88.4,6,7.1,25.2
2020,2,65.0,8,8.3,25.3
2020,3,108.8,8,7.6,25.9
2020,4,188.0,12,7.1,26.0
2020,5,255.6,16,5.7,26.1
2020,6,233.8,21,4.3,25.5
2020,7,140.8,22,5.7,25.5
2020,8,103.4,12,6.4,25.9
2020,9,150.2,18,4.8,24.9
2020,10,78.8,16,4.3,25.6
2020,11,220.6,19,4.0,25.0
2020,12,253.2,20,5.2,24.5
2021,1,692.8,17,4.2,23.8
2021,2,1.0,2,8.2,24.8
2021,3,182.4,14,7.3,25.0
2021,4,290.4,14,6.8,25.3
2021,5,245.8,13,6.0,26.0
2021,6,93.4,20,6.5,25.6
2021,7,195.8,12,6.8,26.2
2021,8,293.6,24,4.8,24.8
2021,9,205.4,14,6.4,25.6
2021,10,177.0,14,6.2,25.8
2021,11,312.4,23,4.9,24.8
2021,12,119.6,15,5.4,25.4
2022,1,99.8,9,8.3,24.9
2022,2,175.0,16,5.9,24.8
2022,3,163.2,21,6.4,25.1
2022,4,239.6,18,5.2,25.1
2022,5,102.0,12,6.7,26.2
2022,6,211.8,17,4.7,25.3
2022,7,145.2,16,6.2,25.8
2022,8,141.4,15,5.5,25.8
